q2_center,value,error
1.8,0.28920722668071314,0.2053098232691624
3.25,-0.06675130876602141,0.32403603888389726
5.0,-0.2994728460871322,0.16074540200937215
7.0,-0.5043348940955653,0.12319438220394874
11.75,-0.6540641014230631,0.1560596139199502
16.0,-0.6629547320232698,0.11619848113238229
18.0,-0.6754366656212385,0.14433159980556823
